"tweet_id","sentiment","author","content"
1694859681,"love","b_b_b_a_r_t","my guys call me ``BartÂ ofÂ theÂ criticalÂ questions''. I'm guessing that's a good thing.  #zeropoint.IT"
1962210607,"happiness","darkmerrick","@susannaheanes bwaha! It's so far away, though.  But it looks fluffy! And Jared's hair's SHINNNY."
1694770268,"neutral","rachelfarrall","i got baby g wach its zi same as the 1 lady gaga wears in eh eh film clip but in pink!! I LOVE YOU KAY thanks a heap  i win olivia"
1963048077,"sadness","AlicaKate","I came home thinking that maybe there was something good to eat. Apparently not."
1957388484,"worry","dicesix","Did 2dives w/ Oceans Deep Dive. 10m vis, no sun, no colours. Dynamite fishing has done it's toll on the reefs."
1752323232,"happiness","crazytwism","@remzology it was amazing but due to time constraints could only visit the meadows and pine forest. Shall post images later."
1695163463,"fun","rebexsti","@thehoosiersuk woop rehearsing songs  Yep, sounds even enough to me"
1961282930,"worry","simonquick","can't wait to get his hands on his new blackberry, this one is dying on me"
1753310326,"neutral","lisacapone","@SweetAmes - That Jasper clip is my first &quot;favorite&quot; Twitter message."
1693976752,"worry","ManMadeMoon","@justinchuan Awww!  I was thinking about you lot up there!  Glad you enjoyed it."
1963744705,"empty","KaKuBby","at panera for lunch  byyy myself  aww"
1694770960,"neutral","Super_Carp","@Falcon1991 Link !"
1961693051,"worry","ginidietrich","@Vasilicious Did you get your free chocolate?!? I still haven't gotten my email."
1961487135,"sadness","twoGforE","sooo tired of this cubicle"
1964018612,"worry","savasavasava","At tweetup loc, but don't recognize anyone  am outside in turquoise shirt. Please see me! #g4c09"
1961609456,"sadness","emmalettuce","Hates leaving teddy ... Now I'm miss both my boys  damn"
1694457089,"love","pameyla","mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!"
1957587490,"anger","ArunBasilLal","@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
1694052149,"fun","breatheitin","I know what would make me really tired, put me to sleep and I would sleep good!  ...RICE!!! Lmao!"
1961363056,"worry","BEKbeergirl","I want some sushi today"
1751069990,"neutral","nappy_steph","@twistedraisin and movies too!!!"
1695923489,"sadness","mackenzie_ann","@marissa110 heyy i finally got one too  oh and good luck on your finals today"
1753903294,"fun","thehermitage","on a sunny walk round the lake this morning we met a mother goose and father goose and five baby goslings"
1695108280,"love","jennifert39","Loves the Mr. oh so much these days!!"
1957452660,"sadness","joshuamange","also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck"
1963900399,"worry","Dr3aBab3s","I dont like the dentist...they make my gums hurt"
1753569407,"love","CarlODwyer","I'm a bit late, but the new twitterific interface for the iPhone is very cool, oh and Richie and Lauren on their engagement"
1694366323,"relief","mandsywoo","@nannynick Ok then have a good day"
1694422080,"empty","aarthycrazy","@dexterouslady the next best thing other than being bored is being bored and being able to share it with people on twitter...."
1962190763,"worry","JackKempers","Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for @eCouchCoach"
1957689175,"sadness","DavidSwinburn","@terryronald When does it close? I didn't think it'd been running that long? I still haven't had chance to see it!"
1964683692,"neutral","alena813","Turn over report...done"
1751714077,"fun","marinalynn","Dinner with Gma and the big sis by the water!  yummmmmm"
1695164710,"neutral","nathanclark_","@jpiasentin bawkmarked"
1751750716,"neutral","sheistheemily","@patricklanglois http://twitpic.com/4w52z - Patrick should come here and say hi!"
1752123033,"happiness","samuraiwarrior2","best part of that movie was that kirk was a total babe"
1962417316,"sadness","victoria_csws","i burned my tongue!  @ workkkkkkkkkkkkkkkkk,"
1753535806,"love","abiirishdancer","Got a Saturdays framed signed foto last night  and a Valentino rossi 1 aswell  eee what a night"
1751465158,"worry","BADsenorita","@SalioElSol08 Haha most def ^__^ Rob a bank with me so i could get all the swedish fishes in the world"
1957460526,"sadness","zymandthebean","@yenbearr yis  i ryke it."
1695310048,"happiness","xissteve","@MichaelSmith22 lol, wen my mum used to take me as a kid, i wud always eat the bread instead! haha."
1962109892,"worry","Awrittenapology","Work is ded  out tonite tho eeeeeee"
1966198353,"neutral","smashleyyy","@pandamachinne and i have cheese and no chips."
1751071921,"neutral","erichatheway","&quot;Patchouli oil &amp; incense had a surge in popularity in the 1960s &amp; 1970s, mostly among devotees of the free love &amp; hippie lifestyles.&quot;"
1964579994,"hate","DareYouToMove","I'm really mad at the world today. Today is just a sucky day."
1960862577,"worry","zoombaby","My sister got a lunch date and I don't"
1694201362,"worry","nadiaparry","@SimonFilmer Alough I will hold you to your word now for when I need rain"
1958071153,"love","reyniiita","baby alex i miss you  ily&lt;3 good night&lt;/3"
1965831092,"love","PBandJs","@missryss HAHA I took the quiz on fb and missed the mcfly one"
1753236871,"neutral","aliefaulkner","Me &amp; @HolsyJak29 are laying in the back of a fox truck on the drive down to the race!  LOL"
1694327906,"worry","chilp","@IDrive_Online When will the maintanance end? I would like to backup some stuff."
1966440461,"surprise","northirid","Well. That first tweet for today failed.  lol. Back to sleep or bacon and eggs? So hard to choose!!"
1695190436,"worry","amariev09","yup, def swine flu. I think it was the sausage."
1752800145,"happiness","jashiranieves","Not quite sure what ace of cakes is or are. Gosh I'm tired. Loved bride wars. Fun night."
1694530043,"neutral","No1PanicFan","@alittlelesskaty Hey, u like FOB 2! Follow me, luv 2 talk more, looking 4 frineds + followers!  ~Ellen~"
1963233394,"surprise","seagab","noooo! @shutuppat  all summer?! I won't see your charming little face ALL summer?!"
